Tempo_s,Coppia_dx_Nm,RPM_dx,Potenza_dx_W
0.840000000000001,-2.2500000023533,-2338.29490668145,550.947758133009
0.841000000000001,-2.2500000023533,-2340.60850429165,551.492886727748
0.842000000000001,-2.2500000023533,-2342.92136725021,552.03784222427
0.843000000000001,-2.2500000023533,-2345.23349286259,552.582623987691
0.844000000000001,-2.2500000023533,-2347.54487842297,553.127231380469
0.845000000000001,-2.2500000023533,-2349.85552121422,553.671663762392
0.846000000000001,-2.2500000023533,-2352.1654185078,554.215920490566
0.847000000000001,-2.2500000023533,-2354.47456756373,554.760000919397
0.848000000000001,-2.2500000023533,-2356.78296563052,555.303904400579
0.849000000000001,-2.2500000023533,-2359.09060994509,555.84763028308
0.850000000000001,-2.2500000023533,-2361.39749773274,556.391177913125
0.851000000000001,-2.2500000023533,-2363.70362620708,556.934546634184
0.852000000000001,-2.2500000023533,-2366.00899256994,557.477735786956
0.853000000000001,-2.2500000023533,-2368.31359401134,558.020744709356
0.854000000000001,-2.2500000023533,-2370.61742770941,558.563572736496
0.855000000000001,-2.2500000023533,-2372.92049083035,559.106219200674
0.856000000000001,-2.2500000023533,-2375.22278052832,559.64868343136
